"period","site","dens","spp","norm"
1,"1_10R",0.55,"cys",-0.55646318464373
2,"1_10R",4.7,"cys",0.846274719503176
3,"1_10R",4.15,"cys",0.66036969606202
4,"1_10R",4.1,"cys",0.643469239385551
5,"1_10R",9.2,"cys",2.36731582038536
6,"1_10R",9.55,"cys",2.48561901712065
7,"1_10R",9.7,"cys",2.53632038715005
8,"1_10R",NA,"cys",NA
9,"1_10R",7.05,"cys",1.64059618329721
10,"1_10R",8.7,"cys",2.19831125362068
11,"1_10R",7.75,"cys",1.87720257676777
12,"1_10R",6.95,"cys",1.60679526994427
13,"1_10R",4.65,"cys",0.829374262826707
14,"1_10R",3.2,"cys",0.339261019209114
15,"1_10R",5.3,"cys",1.0490801996208
16,"1_10R",4.2,"cys",0.677270152738489
17,"1_10R",1.65,"cys",-0.184653137761418
18,"1_10R",2.55,"cys",0.11955508241502
19,"1_10R",3.1,"cys",0.305460105856176
20,"1_10R",NA,"cys",NA
21,"1_10R",1.1,"cys",-0.370558161202574
22,"1_10R",0,"cys",-0.742368208084887
23,"1_10R",0,"cys",-0.742368208084887
24,"1_10R",0,"cys",-0.742368208084887
25,"1_10R",0,"cys",-0.742368208084887
26,"1_10R",NA,"cys",NA
27,"1_10R",0,"cys",-0.742368208084887
28,"1_10R",0,"cys",-0.742368208084887
29,"1_10R",0.1,"cys",-0.708567294731949
30,"1_10R",0.05,"cys",-0.725467751408418
31,"1_10R",0,"cys",-0.742368208084887
32,"1_10R",0,"cys",-0.742368208084887
33,"1_10R",0,"cys",-0.742368208084887
34,"1_10R",0,"cys",-0.742368208084887
35,"1_10R",0,"cys",-0.742368208084887
36,"1_10R",0,"cys",-0.742368208084887
37,"1_10R",0,"cys",-0.742368208084887
38,"1_10R",0.2,"cys",-0.674766381379012
39,"1_10R",0.95,"cys",-0.42125953123198
40,"1_10R",0.6,"cys",-0.539562727967262
41,"1_10R",0.05,"cys",-0.725467751408418
42,"1_10R",0.05,"cys",-0.725467751408418
43,"1_10R",0,"cys",-0.742368208084887
44,"1_10R",0,"cys",-0.742368208084887
45,"1_10R",0,"cys",-0.742368208084887
46,"1_10R",0,"cys",-0.742368208084887
47,"1_10R",0,"cys",-0.742368208084887
48,"1_10R",NA,"cys",NA
49,"1_10R",5.8,"cys",1.21808476638549
50,"1_10R",2.8,"cys",0.204057365797363
51,"1_10R",2.3,"cys",0.0350527990326759
52,"1_10R",1.6,"cys",-0.201553594437887
53,"1_10R",1.05,"cys",-0.387458617879043
54,"1_10R",0.5,"cys",-0.573363641320199
55,"1_10R",3.8,"cys",0.542066499326738
56,"1_10R",NA,"cys",NA
57,"1_10R",0.4,"cys",-0.607164554673137
58,"1_10R",NA,"cys",NA
59,"1_10R",NA,"cys",NA
60,"1_10R",NA,"cys",NA
61,"1_10R",0.1,"cys",-0.708567294731949
62,"1_10R",NA,"cys",NA
63,"1_10R",0.1,"cys",-0.708567294731949
1,"1_10R",0,"eis",-0.371479575619826
2,"1_10R",0,"eis",-0.371479575619826
3,"1_10R",0,"eis",-0.371479575619826
