"period","mei.mean","pdo.mean","npgo.mean","waves.max","sst.mean"
1,0.56575,0.155,-0.8625,NA,NA
2,0.0345,0.735,-0.5725,NA,NA
3,0.0065,0.7825,-0.305,NA,NA
4,-0.10925,0.35,-0.2925,NA,NA
5,1.54325,0.2575,-0.595,NA,NA
6,2.75725,1.0175,0.3175,2.93,NA
7,1.40975,2.1575,-0.1375,1.99,NA
8,-0.22325,1.5425,0.055,2.5,NA
9,-0.10575,0.16,0.5875,1.85,NA
10,-0.61675,0.9,0.185,1.99,NA
11,-0.28575,0.625,-0.2575,1.4,NA
12,-0.1905,1.3225,-1.0925,NA,NA
13,0.65375,0.6775,-0.85,1.8,NA
14,1.33425,1.875,0.3225,2.61,NA
15,1.92325,2.0025,0.3325,1.87,NA
16,0.896,1.215,0.8925,2.36,NA
17,-1.14625,0.3,1.5425,1.79,NA
18,-1.1855,-0.8075,0.915,2.13,NA
19,-0.368,0.3325,0.775,1.76,NA
20,0.46475,-0.445,0.1175,2.16,NA
21,0.282,0.3,-0.205,2.01,NA
22,0.34875,-1.545,-0.845,1.7,NA
23,0.976,-0.14,-0.5975,NA,NA
24,1.73275,0.28,-0.25,NA,NA
25,0.96475,1.3575,-1.2525,NA,NA
26,0.82375,0.3825,-2.1425,NA,NA
27,1.195,2.235,-1.73,NA,NA
28,0.32875,0.9175,-1.9225,NA,NA
29,0.835,-0.4075,-0.82,NA,NA
30,1.07125,-0.2675,-1.2825,NA,NA
31,0.0345,1.0875,-1.1125,NA,NA
32,-0.496,0.6275,-0.655,NA,NA
33,-0.239,0.4925,-0.905,1.59,18
34,-0.40775,0.2825,-1.18,NA,NA
35,2.796,2.5225,-0.745,2,18.85
36,2.60775,1.2675,0.895,NA,NA
37,0.173,-0.2675,0.205,2.01,18.05
38,-1.0575,-0.4375,1.53,NA,NA
39,-0.65225,-1.1125,1.505,1.62,16.15
40,-1.16875,-1.0425,1.68,2.85,13.25
41,-0.14925,-0.8825,1.6225,2.1,16.5
42,-0.57325,0.465,2.5925,2.82,13.75
43,0.1335,-0.98,1.915,1.87,16.05
44,-0.07925,-0.4325,1.99,2.91,13.35
45,0.8515,0.0925,1.155,1.98,16.6666666666667
46,1.027,1.8625,1.7725,2.87,14.45
47,0.24175,0.6325,0.9075,1.87,15.775
48,0.24275,0.4625,0.385,2.71,13.675
49,0.501,0.52,0.565,2.42,16.075
50,0.71,0.61,-1.4075,2.51,14.7
51,0.423,0.405,-1.41,1.81,16.5
52,-0.48875,0.485,-0.92,NA,NA
53,0.7015,-0.05,-0.335,2.03,16.4
54,0.666,-0.0425,-0.315,2.66,13.9666666666667
55,-0.501,0.2525,1.2025,1.78,16.35
56,-1.25875,-0.765,0.8825,NA,NA
57,-0.1535,-1.565,1.77,2.2,16.425
58,-0.6685,-1.3525,0.6025,2.41,13.5
59,0.9125,-0.0575,0.6575,1.77,16.425
60,1.28525,0.5425,1.6525,2.89,14.35
61,-1.303,-1.0375,1.1175,2.27,14.95
62,-1.55375,-0.9125,0.7125,2.84,12.85
63,-0.364,-1.52,1.13,1.96,15.725
